donor_group,aid_type,n_donors,variable,coef,std_err,p_value,ci_lower,ci_upper,sig
frontline_adjacent,Financial,6,battle_lag1,-0.002529887684969229,0.0019041806511319633,0.18598548123326264,-0.0062620817611878776,0.001202306391249419,
frontline_adjacent,Financial,6,battle_lag2,-0.0019154032270116356,0.00259909629449134,0.4622964321035088,-0.007009631964214662,0.0031788255101913906,
frontline_adjacent,Financial,6,battle_lag3,0.0025659952343806175,0.0018926473031184393,0.1771964051719881,-0.0011435934797315236,0.006275583948492759,
frontline_adjacent,Financial,6,battle_lag4,0.004616341025928145,0.0033613564541498317,0.171677245953481,-0.001971917624205524,0.011204599676061815,
frontline_adjacent,Financial,6,battle_lag5,-0.0001646396273828994,0.0027508335370188667,0.9523535920118538,-0.005556273359939878,0.005226994105174079,
frontline_adjacent,Financial,6,battle_lag6,0.0014014129951554204,0.0021969877720335283,0.5245183880800277,-0.002904683038030295,0.005707509028341135,
frontline_adjacent,Financial,6,month_2,2.766383274509891,2.7601826860544487,0.31782796789384227,-2.6435747901568285,8.176341339176611,
frontline_adjacent,Financial,6,month_3,4.784025426783242,5.6894256115178825,0.40175445359234296,-6.3672487717918065,15.93529962535829,
frontline_adjacent,Financial,6,month_4,4.5345100463497765,1.2630470304010393,0.00044626216305077016,2.0589378667637397,7.010082225935813,***
frontline_adjacent,Financial,6,month_5,3.864694741014969,3.323729531249292,0.24676181734512692,-2.649815140233643,10.37920462226358,
frontline_adjacent,Financial,6,month_6,5.929922703974618,4.280575666164732,0.16800079725884132,-2.4600056017082563,14.31985100965749,
frontline_adjacent,Financial,6,month_7,10.39022971212064,6.6871549660043,0.12233524987585542,-2.716594021247788,23.497053445489065,
frontline_adjacent,Financial,6,month_8,5.690236926322222,3.631282819516917,0.11920686022045857,-1.4270773999309352,12.80755125257538,
frontline_adjacent,Financial,6,month_9,7.964188811786547,7.1405657183005244,0.2664748404465176,-6.03131999608248,21.959697619655575,
frontline_adjacent,Financial,6,month_10,8.050941393949516,8.237294854775543,0.3299458634958059,-8.094156521410548,24.196039309309583,
frontline_adjacent,Financial,6,month_11,4.144667510763313,3.097635853579614,0.18290468880196853,-1.9266987622527303,10.216033783779356,
frontline_adjacent,Financial,6,month_12,5.964025316790432,7.926185776293128,0.45295438141425426,-9.5712988047441,21.499349438324963,
frontline_adjacent,Humanitarian,6,infra_lag1,0.16677145895436343,0.09350122694616897,0.07649260755760601,-0.016490945860127754,0.3500338637688546,*
frontline_adjacent,Humanitarian,6,infra_lag2,-0.07249490760529587,0.22763981074485218,0.7505736361115416,-0.5186689366652062,0.3736791214546144,
frontline_adjacent,Humanitarian,6,infra_lag3,0.15633700849279,0.17024627964133002,0.35992677439982934,-0.17734569960421684,0.4900197165897968,
frontline_adjacent,Humanitarian,6,infra_lag4,-0.17537681079436648,0.08335857471370596,0.03704573970562475,-0.33875961723323017,-0.011994004355502796,**
frontline_adjacent,Humanitarian,6,infra_lag5,0.13436570610025136,0.06426132200692801,0.03820966561308681,0.008413514966672475,0.26031789723383025,**
frontline_adjacent,Humanitarian,6,infra_lag6,-0.10294816818614144,0.0398822418215228,0.010794573030786125,-0.18111736215632612,-0.02477897421595676,**
frontline_adjacent,Humanitarian,6,battle_lag1,0.0026013202065860953,0.0018657516579840831,0.1652908822540753,-0.0010555530430627078,0.006258193456234898,
frontline_adjacent,Humanitarian,6,battle_lag2,-0.0013714389682782015,0.0036539785748659907,0.7079435400058904,-0.008533236975015544,0.0057903590384591405,
frontline_adjacent,Humanitarian,6,battle_lag3,0.0046593319779943765,0.009798427465492731,0.6351047324813579,-0.014545585854371379,0.02386424981036013,
frontline_adjacent,Humanitarian,6,battle_lag4,-0.007757879656899333,0.009122211910509775,0.3964278679902722,-0.025637415001498493,0.010121655687699828,
frontline_adjacent,Humanitarian,6,battle_lag5,-0.007452449046782009,0.012753821889654866,0.559869851830213,-0.032449939950505546,0.01754504185694153,
frontline_adjacent,Humanitarian,6,battle_lag6,0.010954629303620286,0.005211472458866477,0.037211142184396584,0.0007401432842419915,0.02116911532299858,**
frontline_adjacent,Humanitarian,6,month_2,14.108283225537177,9.785935713196919,0.1514606446454494,-5.072150772328785,33.28871722340314,
frontline_adjacent,Humanitarian,6,month_3,15.44514052689518,8.311247621386782,0.06506731492783935,-0.8449048110229107,31.73518586481327,*
frontline_adjacent,Humanitarian,6,month_4,6.717838011744253,5.196225136189788,0.1980443302229884,-3.4667632551877317,16.902439278676237,
frontline_adjacent,Humanitarian,6,month_5,14.683553044199666,10.792292435267125,0.17568045025691648,-6.4693401289239,35.83644621732323,
frontline_adjacent,Humanitarian,6,month_6,9.87049908363772,5.541984842180682,0.07691627687457991,-0.9917912070364174,20.732789374311857,*
frontline_adjacent,Humanitarian,6,month_7,15.257271464444875,6.156038465389643,0.014296991354577848,3.1914360722811743,27.323106856608575,**
frontline_adjacent,Humanitarian,6,month_8,-0.4810575140765453,10.677220518476592,0.9641233450199902,-21.408409730290664,20.44629470213757,
frontline_adjacent,Humanitarian,6,month_9,14.546076867501961,8.60815645375397,0.09312945198590539,-2.325909781855822,31.418063516859746,*
frontline_adjacent,Humanitarian,6,month_10,5.43518736864888,6.220221293958383,0.3836183939001594,-6.756446367509551,17.626821104807313,
frontline_adjacent,Humanitarian,6,month_11,20.357974478700616,15.948967862962533,0.20375805048960594,-10.90200253270595,51.61795149010718,
